Number;SoluteName;Formula;Charge;GasPhaseAcidity_B2PLYP//DLPNO-CCSD(T) [kcal/mol];pka_water;pka_DMSO;pka_Acetonitrile;pka_MeOH;Gsolv_Neutral_Water_exp [kcal/mol];Gsolv_Neutral_DMSO_TZVPD-Fine [kcal/mol];Gsolv_Neutral_Acetonitrile_TZVPD-Fine [kcal/mol];Gsolv_Neutral_MeOH_TZVPD-Fine [kcal/mol];GSolv_Ion_Water [kcal/mol];GSolv_Ion_DMSO [kcal/mol];GSolv_Ion_Acetonitrile [kcal/mol];GSolv_Ion_MeOH [kcal/mol]
i015;tri-n-propylamine;H22C9N1;1;;10.3;;18.1;;-2.5;-2.71635489;-4.03708546;-5.8622098;;;;
i018;aniline;H8C6N1;1;203.1594679;4.6;3.6;10.7;6.1;-5.5;-8.90381815;-8.10188463;-7.96334357;-69.6371992;-71.67652451;-80.56249015;-74.14728203
i019;2-methylaniline;H10C7N1;1;205.7384169;4.5;;;6;-5.6;-8.85067698;-8.32573146;-8.13565721;-67.02180088;;;-71.60419735
i020;3-methylaniline;H10C7N1;1;206.3094586;4.7;;;6.1;-5.7;-9.03010647;-8.42657335;-8.32696008;-66.82365776;;;-71.36090781
i021;4-methylaniline;H10C7N1;1;;5.1;;11.3;6.6;-5.6;-8.87183878;-8.30099155;-8.20047023;;;;
i023;3-aminoaniline;H9C6N2;1;;5;;;;-9.9;-12.58421969;-11.31813079;-11.49752169;;;;
i024;N-methylaniline;H10C7N1;1;;4.9;;;5.5;-4.7;-8.10142016;-7.8478974;-7.49707121;;;;
i025;N-ethylaniline;H12C8N1;1;214.2875156;5.1;;;;-4.6;-8.08681821;-8.11398639;-7.76943599;-58.29139786;;;
i026;N,N-dimethylaniline;H12C8N1;1;218.0450397;5.1;;;;-3.6;-6.79643881;-7.37552724;-6.96330679;-53.53387381;;;
i027;4-methyl-N,N-dimethylaniline;H14C9N1;1;221.350613;5.6;;;;-3.7;-6.8453935;-7.59943038;-7.24675822;-51.01054694;;;
i028;N,N-diethylaniline;H16C10N1;1;224.881649;6.6;;;;-2.9;-7.28417106;-8.18101226;-7.70831183;-48.0440037;;;
i029;1-aminonaphthalene;H10C10N1;1;206.1030956;3.9;;;5.4;-7.3;-12.04141531;-10.99539917;-10.7324386;-67.53842644;;;-73.0176043
i030;aziridine;H6C2N1;1;;8;;;;-4.5;-3.64411149;-3.81551619;-4.74269923;;;;
i031;azetidine;H8C3N1;1;217.5455796;11.3;;;;-5.6;-3.25020163;-3.6333981;-5.39263224;-64.4931895;;;
i032;pyrrolidine;H10C4N1;1;219.3019266;11.3;;19.6;;-5.5;-3.90894742;-4.38680384;-6.15808861;-62.63684245;;-72.84893686;
i033;piperidine;H12C5N1;1;221.1538628;11.1;;18.9;11.1;-5.1;-3.99581192;-4.55184265;-6.49310198;-60.11200774;;-70.20689453;-61.50510972
i034;azacycloheptane;H14C6N1;1;221.7827532;11.1;;;;-4.9;-4.50493683;-5.17866577;-7.00492646;-59.28311727;;;
i035;pyrrole;H6C4N1;1;201.0850764;-3.8;;;;-4.3;-8.26741737;-6.99137562;-6.95626261;-59.04985085;;;
i036;pyridine;H6C5N1;1;215.1278818;5.2;3.5;12.3;5.4;-4.7;-5.71957082;-5.81824953;-6.59802711;-57.68748094;-56.38741393;-68.49362963;-59.85840662
i037;quinoline;H8C9N1;1;220.1459224;4.8;;;5.2;-5.7;-8.19033008;-8.32713824;-9.0886014;-53.12364326;;;-57.0580418
i039;piperazine;H11C4N2;1;219.6566035;9.7;;;;-7.4;-6.09357092;-6.38426504;-10.01113141;-61.99897702;;;
i040;acetonitrile;H4C2N1;1;179.2717547;-10;;;;-3.9;-5.68106391;-5.61588352;-5.15394439;-72.00331692;;;
i041;acetonitrile;H2C2N1;-1;368.0736938;25;31.3;;;-3.9;-5.6692678;-5.60566554;-5.14182051;-76.84137285;-70.01433577;;
i043;cyanamide;H1C1N2;-1;343.5582448;10.3;16.9;;;-6.2;-13.65560549;-10.29206441;-11.15640294;-74.68396857;-73.13392133;;
i044;aniline;H6C6N1;-1;361.9060311;27.7;30.6;;;-5.5;-8.89782207;-8.09677659;-7.95258015;-68.58957949;-68.03037233;;
i045;diphenylamine;H10C12N1;-1;;22.4;25;;;-5.3;-12.06944798;-11.32645496;-10.97915098;;;;
i046;hydrogencyanide;C1N1;-1;345.5272349;9.2;12.9;;;-3.1;-7.34782635;-4.00351407;-4.85618246;-75.05390073;-74.25310358;;
i047;ammonia;H4N1;1;195.7069577;9.3;10.5;16.5;10.8;-4.3;-2.87616166;-3.04605604;-4.5163128;-82.30282569;-82.51637875;-90.87323017;-84.56587775
i048;hydrazine;H5N2;1;199.9257735;8.1;;16.6;;-6.3;-4.77871185;-5.16158274;-7.79072059;-78.44661846;;-88.90639034;
i050;methanol;H5C1O1;1;173.1003378;-2.1;;2.4;;-5.1;-5.46761202;-4.31857539;-5.17646518;-90.15422726;;-95.51302042;
i051;ethanol;H7C2O1;1;178.5520996;-1.9;;;;-5;-5.73858894;-4.72483904;-5.73355588;-84.87536399;;;
