Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
111;4-chlorophenol;-1;H4C6O1CL1;C1=CC(=CC=C1O)Cl;-69.0;;;;336.5;-6.2;-12.5;-10.5;-10.7;46;9.4;;;;48;;;;;;;;
112;3-chloroaniline;1;H7C6N1CL1;C1=CC(=CC(=C1)Cl)N;-71.7;;;-76.7;199.7;-5.8;-10.8;-9.5;-9.2;46;3.5;;;4.5;48;;;34;;;;;
113;4-chloroaniline;1;H7C6N1CL1;C1=CC(=CC=C1N)Cl;-72.9;;;-77.8;199.3;-5.9;-10.7;-9.5;-9.2;46;4;;;5;48;;;34;;;;;
114;1-methylpiperidine;1;H14C6N1;CN1CCCCC1;;;;-49.5;230.9;;-3.4;-4.2;-5.8;;;;;9.9;;;;34;;;;;
115;2,4-dimethylpyridine;1;H10C7N1;CC1=CC(=NC=C1)C;;;-47.6;;223.5;;-6.0;-6.6;-7.6;;;;14.1;;;;1;;;;;;
116;2,6-dimethylpyridine;1;H10C7N1;CC1=NC(=CC=C1)C;;;;-54.7;223.1;;-5.6;-6.1;-7.3;;;;;6.9;;;;34,35;;;;;
117;2-methylpyridine;1;H8C6N1;CC1=CC=CC=N1;;;;-56.8;219.7;;-5.8;-6.0;-7.0;;;;;6.2;;;;34,35;;;;;
118;3-bromoaniline;1;H7C6N1BR1;C1=CC(=CC(=C1)Br)N;;;;-77.0;200.0;;-11.5;-10.2;-9.9;;;;;4.4;;;;34;;;;;
119;3-methoxyaniline;1;H10C7N1O1;COC1=CC=CC(=C1)N;;;;-73.7;205.3;;-10.8;-10.0;-9.7;;;;;6;;;;34;;;;;
120;3-methylpyridine;1;H8C6N1;CC1=CN=CC=C1;;;;-57.9;218.1;;-6.0;-6.3;-7.1;;;;;5.8;;;;34,35;;;;;
121;pyridine-4-carbonitrile;1;H5C6N2;C1=CN=CC=C1C#N;;;;-72.5;203.1;;-8.3;-7.9;-8.2;;;;;4.6;;;;36;;;;;
122;4-ethylpyridine;1;H10C7N1;CCC1=CC=NC=C1;;;;-56.7;220.3;;-6.2;-6.8;-7.6;;;;;6.1;;;;34,36;;;;;
123;4-methylbenzoic acid;1;H9C8O2;CC1=CC=C(C=C1)C(=O)O;;;-66.5;;190.0;;-12.4;-10.6;-11.1;;;;0.4;;;;;34,37,38;;;;;
124;4-methylpyridine;1;H8C6N1;CC1=CC=NC=C1;;;;-57.5;219.1;;-6.1;-6.4;-7.3;;;;;6.1;;;;34?36;;;;;
125;4-phenylpyridine;1;H10C11N1;C1=CC=C(C=C1)C2=CC=NC=C2;;;;;;;-9.8;-10.0;-10.7;;;;;5.8;;;;34,36;;;;;
126;acetic acid;1;H5C2O2;CC(=O)O;;;-76.8;;177.2;;-9.0;-7.2;-7.6;;;;1.1;;;;3,4;;;;;;
